source_type,title,url,publisher,checked_date,use
live keyword research,Live Semrush future article roadmap,docs/seo/implementation/future-article-roadmap-live-semrush-2026-07-25.csv,TalkWagon research,2026-07-25,"Authoritative Article 07 topic, live primary metrics, supporting terms, conflict and publication gate"
live keyword evidence,Primary and supporting keyword evidence,docs/seo/implementation/future-article-semrush-live-evidence-2026-07-25.csv,TalkWagon research,2026-07-25,"Exact live metrics for the primary and three supporting keywords"
live SERP evidence,Current SERP competitor evidence,docs/seo/implementation/future-article-serp-competitors-2026-07-25.csv,TalkWagon research,2026-07-25,"Current sampled US ranking pages for the primary keyword"
governance roadmap,Earlier 13-article governed shortlist,docs/seo/implementation/future-article-roadmap.csv,TalkWagon research,2026-07-25,"Confirms Article 07 topic, URL, intent and homepage cannibalization boundary"
official internal,TalkWagon Features,https://talkwagon.chat/features,TalkWagon,2026-07-25,"Verified TalkWagon product scope"
official internal,TalkWagon Team Inbox,https://talkwagon.chat/features/team-inbox,TalkWagon,2026-07-25,"Shared inbox and assignment scope"
official internal,TalkWagon Automation,https://talkwagon.chat/features/automation,TalkWagon,2026-07-25,"Automation scope"
official internal,TalkWagon Flows,https://talkwagon.chat/features/flows,TalkWagon,2026-07-25,"Visual workflow and human handoff scope"
official internal,TalkWagon Broadcasts,https://talkwagon.chat/features/broadcasts,TalkWagon,2026-07-25,"Broadcast controls and reporting scope"
official internal,TalkWagon Pricing,https://talkwagon.chat/pricing,TalkWagon,2026-07-25,"Current TalkWagon plan and pricing context"
official competitor,WATI detailed plan comparison,https://www.wati.io/en/pricing-comparison/,WATI,2026-07-25,"Plan-dependent inbox campaigns automation integrations APIs and limits"
official competitor,WATI shared team inbox,https://www.wati.io/en/shared-team-inbox/,WATI,2026-07-25,"Team inbox assignment contact management and collaboration"
official competitor,WATI pricing structure,https://support.wati.io/en/articles/11462993-understanding-wati-s-pricing-structure,WATI,2026-07-25,"Subscription messaging charges and optional add-ons"
official competitor,respond.io pricing,https://respond.io/pricing,respond.io,2026-07-25,"Monthly active contact model features and separate WhatsApp fees"
official competitor,respond.io team inbox,https://respond.io/team-inbox,respond.io,2026-07-25,"Omnichannel inbox contacts AI and integrations"
official competitor,respond.io workflows overview,https://respond.io/help/workflows/workflows-overview,respond.io,2026-07-25,"Workflow capabilities"
official competitor,Kommo product overview,https://www.kommo.com/product-overview/,Kommo,2026-07-25,"Pipeline inbox contact history broadcasts Salesbot and integrations"
official competitor,Kommo pricing,https://www.kommo.com/buy/tariff/,Kommo,2026-07-25,"Current per-user plan model and feature availability"
official competitor,Interakt US pricing,https://www.interakt.shop/pricing-us/,Interakt,2026-07-25,"WhatsApp and Instagram sales CRM features plans and separate template charges"
official competitor,SleekFlow pricing,https://sleekflow.io/en-us/pricing,SleekFlow,2026-07-25,"Monthly active contacts users inbox flows AI integrations and separate channel charges"
official competitor,Trengo pricing,https://trengo.com/prices,Trengo,2026-07-25,"Users conversation allowances omnichannel inbox AI and add-ons"
official competitor,Zoko pricing,https://www.zoko.io/pricing,Zoko,2026-07-25,"Shopify-oriented commerce campaigns playbooks agents and cost components"
official policy,WhatsApp Business Platform pricing,https://developers.facebook.com/docs/whatsapp/pricing,Meta,2026-07-25,"Current official messaging-pricing context"
competitor coverage,Best WhatsApp CRM,https://respond.io/blog/best-whatsapp-crm,respond.io,2026-07-25,"Current comparison structure and buyer-intent coverage; claims independently verified before use"
competitor coverage,WhatsApp CRM guide,https://www.kommo.com/blog/whatsapp-crm/,Kommo,2026-07-25,"Current Semrush-ranking page and search-intent coverage"
competitor coverage,Choosing the best WhatsApp CRM tool,https://runo.ai/blog/choosing-best-whatsapp-crm-tool,Runo,2026-07-25,"Current Semrush-ranking page and buyer-criteria coverage"
