source_type,title,url,organization,checked_date,used_for
Official policy,WhatsApp Business Messaging Policy and Commerce Policy,https://whatsappbusiness.com/policy/,WhatsApp Business,2026-07-24,"Commerce policy, eligibility, prohibited/restricted product caution, business messaging safety framing"
Official help,About catalog,https://faq.whatsapp.com/405903568419894,WhatsApp Help Center,2026-07-24,"Catalog definition, product/service showcase concept, customer browsing context"
Official help,Create and maintain a catalog,https://faq.whatsapp.com/833697274483076,WhatsApp Help Center,2026-07-24,"Catalog creation and maintenance concept; article avoids device-specific overclaiming"
Official developer docs,Catalogs overview,https://developers.facebook.com/documentation/business-messaging/whatsapp/catalogs/catalogs-overview/,Meta for Developers,2026-07-24,"Business Platform catalog/product-message distinction and catalog-supported conversation framing"
Official product,WhatsApp Business Platform overview,https://whatsappbusiness.com/products/business-platform/,WhatsApp Business,2026-07-24,"Business Platform positioning, conversational commerce and API workflow framing"
Official legal,WhatsApp Business Terms of Service,https://www.whatsapp.com/legal/business-terms,WhatsApp,2026-07-24,"Account accuracy and responsible business account references"
Competitor/reference,What is WhatsApp Commerce?,https://www.cm.com/glossary/what-is-whatsapp-commerce/,CM.com,2026-07-24,"Competitor coverage comparison only; wording not copied"
Competitor/reference,The WhatsApp ecommerce customer journey,https://www.infobip.com/blog/the-whatsapp-ecommerce-customer-journey,Infobip,2026-07-24,"Competitor coverage comparison only; wording not copied"
Competitor/reference,WhatsApp Commerce guide,https://umnico.com/blog/whatsapp-commerce/,Umnico,2026-07-24,"Competitor coverage comparison only; wording not copied"
Competitor/reference,End-to-end conversational buying experiences with WhatsApp Commerce,https://insiderone.com/end-to-end-conversational-buying-experiences-with-whatsapp-commerce/,Insider,2026-07-24,"Competitor coverage comparison only; wording not copied"
Competitor/reference,WhatsApp Business Catalog guide,https://sleekflow.io/en-us/blog/whatsapp-business-catalog,SleekFlow,2026-07-24,"Competitor coverage comparison only; wording not copied"
Competitor/reference,WhatsApp Commerce Policy guide,https://gallabox.com/blog/whatsapp-commerce-policy,Gallabox,2026-07-24,"Competitor coverage comparison only; wording not copied"
